date,sma_crossover_value,sma_crossover_signal,rsi_value,rsi_signal,macd_value,macd_signal,macd_macd,macd_signal_line,bollinger_value,bollinger_signal,bollinger_mid,bollinger_upper,bollinger_lower,volume_spike_value,volume_spike_signal,atr_breakout_value,atr_breakout_signal,atr_breakout_atr,gap_move_value,gap_move_signal
2024-01-01,,0,,0,,0,,,,0,,,,,0,,0,,,0
2024-01-02,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-03,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-04,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-05,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-08,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-09,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-10,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-11,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-12,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-15,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-16,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-17,,0,,0,,0,,,,0,,,,,0,,0,,0.0,0
2024-01-18,,0,,0,,0,,,,0,,,,,0,-0.750943108125159,0,2.5478364791636303,0.0,0
2024-01-19,,0,34.19579149652189,0,,0,,,,0,,,,,0,-0.6649627368523556,0,2.594006756947094,0.0,0
2024-01-22,,0,31.881903942117646,0,,0,,,,0,,,,,0,-0.2184187491269253,0,2.5743555967084624,0.0,0
2024-01-23,,0,28.18264592998186,1,,0,,,,0,,,,,0,-0.39403171092624717,0,2.570430481225918,0.0,0
2024-01-24,,0,30.863047435238386,0,,0,,,,0,,,,,0,0.12410562915143124,0,2.532095721555221,0.0,0
2024-01-25,,0,27.651597697333642,1,,0,,,,0,,,,,0,-0.3655091052123599,0,2.4842721086076303,0.0,0
2024-01-26,,0,23.547460929166093,1,,0,,,-2.0931404739118102,1,101.51189328748407,106.23003292298823,96.79375365197991,0.8045405683254677,0,-0.5675907920264679,0,2.488242799522754,0.0,0
2024-01-29,,0,34.42490840251287,0,,0,,,-1.352836929363398,0,101.38904145683776,106.34065660579571,96.4374263078798,1.13042237822215,0,0.5880895531420363,0,2.4922203788366804,0.0,0
2024-01-30,,0,33.63111144514251,0,,0,,,-1.3291318951389708,0,101.26181402622568,106.45003168805033,96.07359636440103,1.1504287665527222,0,-0.0920570657488886,0,2.452568943511755,0.0,0
2024-01-31,,0,34.12041573232693,0,,0,,,-1.1931732777600546,0,101.10557857894295,106.50990533475046,95.70125182313545,1.5911906893349135,0,0.028309947608926904,0,2.3853171902947654,0.0,0
2024-02-01,,0,29.224835775770813,1,,0,,,-1.5141638103192188,0,100.80195422952917,106.54145604808102,95.06245241097733,1.5176072195447228,0,-0.6005290918135004,0,2.372488203545545,0.0,0
2024-02-02,,0,27.595611893148572,1,,0,,,-1.5012132831995058,0,100.48281841262528,106.57191971518836,94.3937171100622,0.6678283800549283,0,-0.23039660106680562,0,2.362807098735495,0.0,0
2024-02-05,,0,28.47062282912283,1,,0,-1.3906911781656675,,-1.3089708286420942,0,100.18093557305436,106.5335820321201,93.82828911398862,1.1787688585808975,0,0.046777982599695365,0,2.371256380572954,0.0,0
2024-02-06,,0,25.083202011223577,1,,0,-1.534501844550249,,-1.486107427345522,0,99.74254241383694,106.29700110017968,93.1880837274942,1.14654899462503,0,-0.4892939685438321,0,2.3523559484040306,0.0,0
2024-02-07,,0,28.090717197659444,1,,0,-1.599716606270718,,-1.2494683415942391,0,99.28456241907915,105.7459295790469,92.8231952591114,1.0497372804728795,0,0.16315387484729846,0,2.3027220082716546,0.0,0
2024-02-08,,0,26.274678434300668,1,,0,-1.6804946016147824,,-1.3063916230448083,0,98.82002420912218,105.2082117345973,92.43183668364706,1.2712137240978179,0,-0.2624893117484658,0,2.288240560798021,0.0,0
